0	357013
0.1	1798120
0.2	2320300
0.3	3525320
0.4	3746610
0.5	3680620
0.6	3198280
0.7	2901980
0.8	2641070
0.9	2422650
1	2228700
1.1	2060690
1.2	1913080
1.3	1786160
1.4	1674660
1.5	1571980
1.6	1480390
1.7	1399890
1.8	1326290
1.9	1258720
2	1193200
2.1	1137910
2.2	1087480
2.3	1038410
2.4	994487
2.5	952573
2.6	917606
2.7	879604
2.8	844193
2.9	814761
3	785598
3.1	757776
3.2	731557
3.3	706811
3.4	684809
3.5	661330
3.6	640884
3.7	619018
3.8	600887
3.9	584910
4	564870
4.1	550648
4.2	535744
4.3	520502
4.4	506815
4.5	492300
4.6	480193
4.7	467007
4.8	455089
4.9	443557
5	433692
5.1	422190
5.2	413134
5.3	402920
5.4	395126
5.5	385132
5.6	377010
5.7	366836
5.8	359273
5.9	351984
6	343089
6.1	337158
6.2	329776
6.3	323042
6.4	315939
6.5	310599
6.6	302964
6.7	296840
6.8	292072
6.9	286120
7	280339
7.1	276214
7.2	270464
7.3	265026
7.4	260003
7.5	254974
7.6	251231
7.7	246194
7.8	241201
7.9	238079
8	232924
8.1	229786
8.2	225508
8.3	220858
8.4	218203
8.5	214107
8.6	211233
8.7	207156
8.8	204303
8.9	200264
9	197461
9.1	194297
9.2	190957
9.3	188643
9.4	184524
9.5	182670
9.6	179602
9.7	176842
9.8	174314
9.9	172102
10	169275
10.1	165932
10.2	164911
10.3	162384
10.4	159907
10.5	157107
10.6	154512
10.7	153435
10.8	151518
10.9	148538
11	147168
11.1	144348
11.2	142217
11.3	140685
11.4	138246
11.5	137249
11.6	135794
11.7	133591
11.8	132422
11.9	129466
12	127497
12.1	127014
12.2	124793
12.3	122955
12.4	121799
12.5	119886
12.6	118202
12.7	116563
12.8	115827
12.9	113478
13	112970
13.1	111466
13.2	110137
13.3	108298
13.4	107010
13.5	105954
13.6	104777
13.7	102914
13.8	102544
13.9	100676
14	100218
14.1	98769
14.2	97272
14.3	96229
14.4	95180
14.5	94321
14.6	92640
14.7	91834
14.8	90990
14.9	90444
15	88407
15.1	87868
15.2	86933
15.3	85570
15.4	85251
15.5	83149
15.6	82363
15.7	81860
15.8	81021
15.9	79860
16	78967
16.1	78312
16.2	77326
16.3	76130
16.4	75471
16.5	74539
16.6	73547
16.7	72954
16.8	72177
16.9	70976
17	70441
17.1	69526
17.2	68984
17.3	67614
17.4	67205
17.5	66693
17.6	65470
17.7	65098
17.8	64143
17.9	63711
18	62982
18.1	61910
18.2	61133
18.3	60091
18.4	59984
18.5	58844
18.6	58169
18.7	58140
18.8	56655
18.9	56141
19	55436
19.1	54521
19.2	53848
19.3	53207
19.4	52383
19.5	51790
19.6	51534
19.7	50420
19.8	49803
19.9	49188
20	48119
20.1	47196
20.2	46700
20.3	46203
20.4	45566
20.5	44840
20.6	43824
20.7	43308
20.8	42429
20.9	42363
21	41238
21.1	40456
21.2	39611
21.3	39110
21.4	38270
21.5	37623
21.6	36666
21.7	35732
21.8	35216
21.9	34320
22	34073
22.1	33001
22.2	31864
22.3	31385
22.4	30362
22.5	29639
22.6	28924
22.7	27902
22.8	27098
22.9	26156
23	25146
23.1	24312
23.2	23490
23.3	22636
23.4	21512
23.5	20042
23.6	19363
23.7	18064
23.8	17084
23.9	16109
24	15120
24.1	13963
24.2	12498
24.3	11248
24.4	9941
24.5	8377
24.6	7172
24.7	5817
24.8	4233
24.9	2464
25	499
25.1	2
